iter	Passed	Remaining
0	129	12860
1	143	7030
2	157	5104
3	171	4115
4	195	3721
5	214	3355
6	227	3021
7	237	2733
8	248	2512
9	259	2334
10	269	2176
11	279	2052
12	291	1950
13	301	1852
14	312	1769
15	322	1693
16	332	1624
17	343	1563
18	354	1511
19	364	1457
20	374	1410
21	385	1365
22	395	1324
23	406	1287
24	416	1249
25	426	1213
26	438	1184
27	449	1156
28	459	1125
29	470	1097
30	480	1069
31	490	1042
32	501	1018
33	511	993
34	521	968
35	532	946
36	542	924
37	553	902
38	563	881
39	573	860
40	608	875
41	636	879
42	663	878
43	678	863
44	689	842
45	701	823
46	712	803
47	722	782
48	733	763
49	743	743
50	753	724
51	763	704
52	774	686
53	784	668
54	795	650
55	806	633
56	817	616
57	827	599
58	839	583
59	851	567
60	861	550
61	872	534
62	882	518
63	893	502
64	904	487
65	915	471
66	925	455
67	936	440
68	947	425
69	958	410
70	970	396
71	981	381
72	992	367
73	1004	352
74	1016	338
75	1027	324
76	1037	309
77	1049	296
78	1061	282
79	1071	267
80	1082	253
81	1095	240
82	1110	227
83	1121	213
84	1138	200
85	1152	187
86	1165	174
87	1177	160
88	1187	146
89	1200	133
90	1213	120
91	1226	106
92	1237	93
93	1248	79
94	1261	66
95	1271	52
96	1281	39
97	1293	26
98	1303	13
99	1315	0
